company_id,symbol_short,company_name_api,report_count
341,ALLI,ALLIANCE FINANCE COMPANY PLC,73
364,AAIC,SOFTLOGIC LIFE INSURANCE PLC,63
362,ARPI,ARPICO FINANCE COMPANY PLC,35
368,CSF,NATION LANKA FINANCE PLC,66
375,HASU,HNB LIFE  PLC,58
373,HNB,HATTON NATIONAL BANK PLC,71
363,ACAP,ASIA CAPITAL PLC,58
361,ATL,AMANA TAKAFUL  PLC,57
376,HDFC,HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SRI LANKA,63
367,CINS,CEYLINCO HOLDINGS PLC,69
377,LVEN,LANKA VENTURES PLC,56
378,LOLC,LOLC HOLDINGS PLC,63
369,COMB,COMMERCIAL BANK OF CEYLON PLC,83
366,CFIN,CENTRAL FINANCE COMPANY PLC,63
374,ECL,E-CHANNELLING PLC,56
371,DFCC,DFCC BANK PLC,89
379,LFIN,L B FINANCE PLC,60
372,CTCE,AIA INSURANCE LANKA PLC,32
380,MBSL,MERCHANT BANK OF SRI LANKA & FINANCE PLC,71
387,NTB,NATIONS TRUST BANK PLC,63
386,NDB,NATIONAL DEVELOPMENT BANK PLC,77
388,PABC,PAN ASIA BANKING CORPORATION PLC,59
402,CLPL,CEYLON LEATHER PRODUCTS PLC,17
401,ASCO,LANKA REALTY INVESTMENTS PLC,58
389,DIAL,DIALOG AXIATA PLC,104
405,PMB,PMF FINANCE PLC,68
403,MGT,HAYLEYS FABRIC PLC,62
390,SLTL,SRI LANKA TELECOM PLC,60
452,BFL,BAIRAHA FARMS PLC,56
449,TFC,THE FINANCE COMPANY PLC,30
431,SAMP,SAMPATH BANK PLC,74
456,BUKI,BUKIT DARAH PLC,57
455,VLL,VIDULLANKA PLC,67
443,SEYB,SEYLAN BANK PLC,75
457,CARG,CARGILLS (CEYLON) PLC,57
458,BREW,CEYLON BEVERAGE HOLDINGS PLC,60
454,VPEL,VALLIBEL POWER ERATHNA PLC,57
450,UAL,UNION ASSURANCE PLC,57
442,DOCK,COLOMBO DOCKYARD PLC,60
444,KAPI,MTD WALKERS PLC,36
441,SFCL,SENKADAGALA FINANCE PLC,73
446,LDEV,LANKEM DEVELOPMENTS PLC,56
