company_name,cse_symbol,board,sector,industry_group,company_id_if_available,company_profile_url,status,source_url,source_checked_date,batch_number,total_batches_estimated,continue_from_symbol,symbol_short,company_id,company_name_api,report_count
Talawakelle Tea Estates PLC,TTE.N0000,Main Board,Food Beverage & Tobacco,Food Beverage & Tobacco,,https://www.cse.lk/pages/company-profile/company-profile.component.html?symbol=TTE.N0000,active,https://www.cse.lk,2026-05-01,,,,TTE,,,
Elpitiya Plantations PLC,ELPI.N0000,Main Board,Food Beverage & Tobacco,Food Beverage & Tobacco,,https://www.cse.lk/pages/company-profile/company-profile.component.html?symbol=ELPI.N0000,active,https://www.cse.lk,2026-05-01,,,,ELPI,,,
Udapussellawa Plantations PLC,UDAP.N0000,Main Board,Food Beverage & Tobacco,Food Beverage & Tobacco,,https://www.cse.lk/pages/company-profile/company-profile.component.html?symbol=UDAP.N0000,active,https://www.cse.lk,2026-05-01,,,,UDAP,,,
Agarapatana Plantations PLC,AGPL.N0000,Main Board,Food Beverage & Tobacco,Food Beverage & Tobacco,,https://www.cse.lk/pages/company-profile/company-profile.component.html?symbol=AGPL.N0000,active,https://www.cse.lk,2026-05-01,,,,AGPL,,,
The Colombo Fort Land and Building PLC,CFLD.N0000,Main Board,Real Estate,Real Estate,,https://www.cse.lk/pages/company-profile/company-profile.component.html?symbol=CFLD.N0000,active,https://www.cse.lk,2026-05-01,,,,CFLD,,,
Dolphin Hotels PLC,KEEH.N0000,Main Board,Consumer Services,Consumer Services,,https://www.cse.lk/pages/company-profile/company-profile.component.html?symbol=KEEH.N0000,active,https://www.cse.lk,2026-05-01,,,,KEEH,,,
Millennium Housing Developers PLC,MHD.N0000,Dirisavi Board,Real Estate,Real Estate,,https://www.cse.lk/pages/company-profile/company-profile.component.html?symbol=MHD.N0000,active,https://www.cse.lk,2026-05-01,,,,MHD,,,
C. M. Holdings PLC,CMH.N0000,Main Board,Capital Goods,Capital Goods,,https://www.cse.lk/pages/company-profile/company-profile.component.html?symbol=CMH.N0000,active,https://www.cse.lk,2026-05-01,,,,CMH,,,
Cargills Bank PLC,CBNK.N0000,Main Board,Banks,Banks,,https://www.cse.lk/pages/company-profile/company-profile.component.html?symbol=CBNK.N0000,active,https://www.cse.lk,2026-05-01,,,,CBNK,,,
Cable Solutions PLC,CSOL.N0000,Dirisavi Board,Capital Goods,Capital Goods,,https://www.cse.lk/pages/company-profile/company-profile.component.html?symbol=CSOL.N0000,active,https://www.cse.lk,2026-05-01,,,,CSOL,,,
Maharaja Foods PLC,MFP.N0000,Empower Board,Food Beverage & Tobacco,Food Beverage & Tobacco,,https://www.cse.lk/pages/company-profile/company-profile.component.html?symbol=MFP.N0000,active,https://www.cse.lk,2026-05-01,,,,MFP,,,
