alias_name,alias_normalized,node_id,canonical_name,entity_type,cse_symbol
ALLIANCE FINANCE COMPANY PLC,ALLIANCE FINANCE COMPANY PLC,COMPANY::ALLI,ALLIANCE FINANCE COMPANY PLC,LISTED_COMPANY,ALLI
Mr. R.K.E.P. de Silva,R K E P DE SILVA,PERSON::e7289608b1,R K E P DE SILVA,PERSON,
SOFTLOGIC LIFE INSURANCE PLC,SOFTLOGIC LIFE INSURANCE PLC,COMPANY::AAIC,SOFTLOGIC LIFE INSURANCE PLC,LISTED_COMPANY,AAIC
Softlogic Capital PLC,SOFTLOGIC CAPITAL PLC,COMPANY::SCAP,SOFTLOGIC CAPITAL PLC,LISTED_COMPANY,SCAP
Allianz Life Insurance Lanka Limited,ALLIANZ LIFE INSURANCE LANKA LTD,UNLISTED_COMPANY::8ded54d8f5,ALLIANZ LIFE INSURANCE LANKA LTD,UNLISTED_COMPANY,
ARPICO FINANCE COMPANY PLC,ARPICO FINANCE COMPANY PLC,LISTED_COMPANY::fce93b8fd8,ARPICO FINANCE COMPANY PLC,LISTED_COMPANY,
Associated Motor Finance Company PLC,ASSOCIATED MOTOR FINANCE COMPANY PLC,COMPANY::AMF,ASSOCIATED MOTOR FINANCE COMPANY PLC,LISTED_COMPANY,AMF
HNB LIFE PLC,HNB LIFE PLC,COMPANY::HASU,HNB LIFE PLC,LISTED_COMPANY,HASU
Hatton National Bank PLC,HATTON NATIONAL BANK PLC,COMPANY::HNB,HATTON NATIONAL BANK PLC,LISTED_COMPANY,HNB
HNB General Insurance Limited,HNB GENERAL INSURANCE LTD,UNLISTED_COMPANY::13fedb315d,HNB GENERAL INSURANCE LTD,UNLISTED_COMPANY,
HATTON NATIONAL BANK PLC,HATTON NATIONAL BANK PLC,COMPANY::HNB,HATTON NATIONAL BANK PLC,LISTED_COMPANY,HNB
HNB Assurance PLC,HNB ASSURANCE PLC,COMPANY::HASU,HNB LIFE PLC,LISTED_COMPANY,HASU
HNB Finance PLC,HNB FINANCE PLC,COMPANY::HNBF,HNB FINANCE PLC,LISTED_COMPANY,HNBF
Acuity Partners (Pvt) Ltd,ACUITY PARTNERS PVT LTD,UNLISTED_COMPANY::b07be6578c,ACUITY PARTNERS PVT LTD,UNLISTED_COMPANY,
ASIA CAPITAL PLC,ASIA CAPITAL PLC,COMPANY::ACAP,ASIA CAPITAL PLC,LISTED_COMPANY,ACAP
Asia Leisure Holdings (Private) Limited,ASIA LEISURE HOLDINGS PVT LTD,UNLISTED_COMPANY::54e6548c47,ASIA LEISURE HOLDINGS PVT LTD,UNLISTED_COMPANY,
Asia Digital Entertainment (Private) Limited,ASIA DIGITAL ENTERTAINMENT PVT LTD,UNLISTED_COMPANY::2938abde9b,ASIA DIGITAL ENTERTAINMENT PVT LTD,UNLISTED_COMPANY,
AMANA TAKAFUL PLC,AMANA TAKAFUL PLC,COMPANY::ATL,AMANA TAKAFUL PLC,LISTED_COMPANY,ATL
Amana Takaful Life PLC,AMANA TAKAFUL LIFE PLC,COMPANY::ATLL,AMANA TAKAFUL LIFE PLC,LISTED_COMPANY,ATLL
HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SRI LANKA,HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SRI LANKA,COMPANY::HDFC,HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SRI LANKA,LISTED_COMPANY,HDFC
National Housing Development Authority (NHDA),NATIONAL HOUSING DEVELOPMENT AUTHORITY NHDA,GOVERNMENT::01856344c8,NATIONAL HOUSING DEVELOPMENT AUTHORITY NHDA,GOVERNMENT,
CEYLINCO HOLDINGS PLC,CEYLINCO HOLDINGS PLC,COMPANY::CINS,CEYLINCO HOLDINGS PLC,LISTED_COMPANY,CINS
Ceylinco General Insurance Limited,CEYLINCO GENERAL INSURANCE LTD,UNLISTED_COMPANY::3db7069474,CEYLINCO GENERAL INSURANCE LTD,UNLISTED_COMPANY,
Ceylinco Life Insurance Limited,CEYLINCO LIFE INSURANCE LTD,UNLISTED_COMPANY::01960e8d36,CEYLINCO LIFE INSURANCE LTD,UNLISTED_COMPANY,
LANKA VENTURES PLC,LANKA VENTURES PLC,COMPANY::LVEN,LANKA VENTURES PLC,LISTED_COMPANY,LVEN
LVL Energy Fund PLC,LVL ENERGY FUND PLC,COMPANY::LVEF,LVL ENERGY FUND PLC,LISTED_COMPANY,LVEF
LOLC HOLDINGS PLC,LOLC HOLDINGS PLC,COMPANY::LOLC,LOLC HOLDINGS PLC,LISTED_COMPANY,LOLC
Ishara Nanayakkara,ISHARA NANAYAKKARA,PERSON::8fd06f7619,ISHARA NANAYAKKARA,PERSON,
